version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,180223000,-241823077.54,538573821.01,240577113.56,0,2830.2
0,0,180224000,-241823183.38,538573737.98,240577194.4,0,2849.6
0,0,180225000,-241823269.18,538573656.08,240577265.88,0,2884.6
0,0,180226000,-241823349.46,538573578.71,240577323.1,0,2924.7
0,0,180227000,-241823425.28,538573540.78,240577386.83,0,2970.6
0,0,180228000,-241823474.38,538573502.4,240577412.45,0,3029.8
0,0,180229000,-241823496.12,538573471.29,240577432.62,0,3073.2
0,0,180230000,-241823501.97,538573462.52,240577442.77,0,3106.2
0,0,180231000,-241823501.6,538573463.32,240577439.93,0,3124.1
0,0,180232000,-241823497.96,538573457.76,240577428.12,0,3131.0
0,0,180233000,-241823491.46,538573449.63,240577406.17,0,3153.6
0,0,180234000,-241823494.5,538573442.93,240577414.25,0,3162.9
0,0,180235000,-241823495.45,538573436.56,240577421.9,0,3171.2
0,0,180236000,-241823495.58,538573438.38,240577422.28,0,3181.0
0,0,180237000,-241823494.72,538573443.34,240577424.58,0,3192.8
0,0,180238000,-241823494.05,538573450.28,240577428.19,0,3201.3
0,0,180239000,-241823494.61,538573455.67,240577432.93,0,3214.4
